date,quarter,house_id,house_type,sales_type,year_build,purchase_price,%_change_between_offer_and_purchase,no_rooms,square_meters_num,square_meter_price,address,zip_code,city,area,region,nominal_interest_rate,annual_inflation_rate,mortgage_bond_yield_rate
10/16/2024,2024Q4,213,Villa,regular_sale,1830,325000,0,6,136,2389.7058,Slagelsevej 16,4460,Snertinge,Other islands,Zealand,3.1,,
10/15/2024,2024Q4,240,Villa,regular_sale,1967,1750000,-8,4,130,13461.538,Engtoften 19,5320,Agedrup,Fyn & islands,Fyn & islands,3.1,,
10/15/2024,2024Q4,239,Apartment,family_sale,1967,2700000,0,3,105,25714.285,"Kystvej 20, 1. 6",3100,Hornbæk,North Zealand,Zealand,3.1,,
10/14/2024,2024Q4,291,Villa,regular_sale,1980,2525000,21,4,139,18165.467,Sundhøj 17,6400,Sønderborg,South jutland,Jutland,3.1,,
10/14/2024,2024Q4,297,Villa,regular_sale,1936,1495000,0,4,100,14950,Tøndervej 57,6200,Aabenraa,South jutland,Jutland,3.1,,
10/14/2024,2024Q4,309,Villa,regular_sale,1949,1940000,-3,4,106,18301.887,Herman Bangs Vej 5,7000,Fredericia,South jutland,Jutland,3.1,,
10/13/2024,2024Q4,384,Apartment,regular_sale,1967,1825000,0,3,75,24333.334,"Gyvelvej 12A, 3. tv",4000,Roskilde,Other islands,Zealand,3.1,,
10/13/2024,2024Q4,354,Summerhouse,regular_sale,1947,995000,0,3,35,28428.572,Kildebakkerne 33,3310,Alsted,North Zealand,Zealand,3.1,,
10/13/2024,2024Q4,370,Apartment,regular_sale,2022,4995000,0,4,118,42330.508,Helga Pedersens Gade 61,8000,Aarhus C,East & mid jutland,Jutland,3.1,,
10/12/2024,2024Q4,391,Apartment,other_sale,1981,1370000,0,2,63,21746.031,Bredstedgade 32,5000,Odense C,Fyn & islands,Fyn & islands,3.1,,
10/10/2024,2024Q4,402,Villa,regular_sale,1965,1250000,-3,4,135,9259.259,Norgesgade 21,7430,Ikast,South jutland,Jutland,3.1,,
10/10/2024,2024Q4,460,Farm,regular_sale,1877,700000,0,8,271,2583.026,Vestrupvej 24,9600,Aars,North jutland,Jutland,3.1,,
10/10/2024,2024Q4,407,Villa,regular_sale,1942,950000,0,5,160,5937.5,Barrit Langgade 71,7150,Barrit,South jutland,Jutland,3.1,,
10/10/2024,2024Q4,468,Villa,regular_sale,1904,6500000,0,3,132,49242.426,Bytoftevej 2B,4640,Faxe,Other islands,Zealand,3.1,,
10/10/2024,2024Q4,428,Summerhouse,other_sale,1973,2400000,0,4,71,33802.816,Bjergkløverstien 4,4583,Sjællands Odde,Other islands,Zealand,3.1,,
10/10/2024,2024Q4,419,Townhouse,regular_sale,1972,310000,0,3,90,3444.4443,Vibevej 18,7760,Hurup Thy,South jutland,Jutland,3.1,,
10/10/2024,2024Q4,469,Apartment,regular_sale,2017,4675000,0,4,93,50268.816,"Kløverbladsgade 71, 3. th",2500,Valby,"Capital, Copenhagen",Zealand,3.1,,
10/10/2024,2024Q4,454,Summerhouse,family_sale,1987,719200,0,4,65,11064.615,Engelsødvej 8,5700,Svendborg,Fyn & islands,Fyn & islands,3.1,,
10/10/2024,2024Q4,405,Villa,regular_sale,2012,10800000,-2,6,176,61363.637,Kystvej 14A,3050,Humlebæk,North Zealand,Zealand,3.1,,
10/9/2024,2024Q4,550,Summerhouse,regular_sale,1996,915000,-3,2,29,31551.725,Skovpibervej 4,4200,Slagelse,Other islands,Zealand,3.1,,
10/9/2024,2024Q4,505,Summerhouse,regular_sale,1968,1725000,-4,6,111,15540.541,Thorsvej 34,4560,Vig,Other islands,Zealand,3.1,,
10/9/2024,2024Q4,557,Villa,regular_sale,2014,3820000,-4,5,191,20000,Jonsgården 15,4200,Slagelse,Other islands,Zealand,3.1,,
10/8/2024,2024Q4,571,Apartment,regular_sale,2005,8000000,0,3,107,74766.35,"Ordrupvej 130B, st. tv",2920,Charlottenlund,"Capital, Copenhagen",Zealand,3.1,,
10/8/2024,2024Q4,575,Villa,regular_sale,1971,3600000,-4,4,129,27906.977,Engrøjel 84,2670,Greve,"Capital, Copenhagen",Zealand,3.1,,
10/8/2024,2024Q4,560,Villa,regular_sale,1850,500000,-37,4,159,3144.654,Skovs-Højrup-Vej 55,5270,Odense N,Fyn & islands,Fyn & islands,3.1,,
10/8/2024,2024Q4,612,Summerhouse,regular_sale,1968,1700000,-15,3,53,32075.473,Fredskovens Gyvelvej 3,4480,Store Fuglede,Other islands,Zealand,3.1,,
10/8/2024,2024Q4,589,Villa,regular_sale,1970,4900000,-7,3,240,20416.666,Hagelbjergvej 19,4100,Ringsted,Other islands,Zealand,3.1,,
10/8/2024,2024Q4,611,Summerhouse,family_sale,1979,1105000,0,4,75,14733.333,Ravnevej 6,4872,Idestrup,Other islands,Zealand,3.1,,
10/7/2024,2024Q4,726,Apartment,regular_sale,1880,3500000,0,3,92,38043.477,"Persillegade 6, 1",6200,Aabenraa,South jutland,Jutland,3.1,,
10/7/2024,2024Q4,710,Villa,regular_sale,1978,3200000,-8,4,145,22068.965,Fyrrevænget 8,8541,Skødstrup,East & mid jutland,Jutland,3.1,,
10/7/2024,2024Q4,705,Summerhouse,family_sale,1972,1003850,0,3,82,12242.073,Udlodden 39,4500,Nykøbing Sj,Other islands,Zealand,3.1,,
10/6/2024,2024Q4,734,Apartment,family_sale,1966,1925000,0,3,43,44767.44,"Tagensvej 47, 6. 44",2200,København N,"Capital, Copenhagen",Zealand,3.1,,
10/6/2024,2024Q4,768,Villa,regular_sale,1912,1500000,0,6,189,7936.508,Nørvej 32,7960,Karby,South jutland,Jutland,3.1,,
10/6/2024,2024Q4,806,Villa,regular_sale,2009,1695000,0,5,141,12021.276,Skadegårdsparken 4,5600,Faaborg,Fyn & islands,Fyn & islands,3.1,,
10/6/2024,2024Q4,731,Villa,regular_sale,1952,6550000,0,5,100,65500,Holbækvej 157,4400,Kalundborg,Other islands,Zealand,3.1,,
10/5/2024,2024Q4,831,Apartment,regular_sale,1899,2125000,0,3,82,25914.635,"Holsedore 18B, st. 3",5000,Odense C,Fyn & islands,Fyn & islands,3.1,,
10/5/2024,2024Q4,817,Townhouse,regular_sale,1982,2100000,-7,3,106,19811.32,Krondrevet 22,3140,Ãlsgårde,North Zealand,Zealand,3.1,,
10/3/2024,2024Q4,904,Villa,regular_sale,1938,2300000,0,4,182,12637.362,Borumvej 52,7620,Lemvig,South jutland,Jutland,3.1,,
10/3/2024,2024Q4,882,Summerhouse,regular_sale,1979,1570000,-2,3,72,21805.555,Søknudevej 20,6823,Ansager,South jutland,Jutland,3.1,,
10/3/2024,2024Q4,926,Villa,regular_sale,1905,1800000,0,4,190,9473.685,Hald Møllevej 3,8983,Gjerlev J,East & mid jutland,Jutland,3.1,,
10/3/2024,2024Q4,881,Villa,regular_sale,1951,7000000,-18,4,123,56910.57,Moseranden 9,2970,Hørsholm,"Capital, Copenhagen",Zealand,3.1,,
10/3/2024,2024Q4,886,Summerhouse,regular_sale,1965,1500000,-6,3,75,20000,Ternevej 2,5610,Assens,Fyn & islands,Fyn & islands,3.1,,
10/3/2024,2024Q4,889,Villa,regular_sale,1933,1250000,-3,6,118,10593.221,Sankelmarksvej 17,4760,Vordingborg,Other islands,Zealand,3.1,,
10/3/2024,2024Q4,874,Villa,other_sale,1904,650000,0,7,235,2765.9575,Hovedgaden 31A,7490,Aulum,South jutland,Jutland,3.1,,
10/3/2024,2024Q4,879,Villa,regular_sale,1910,950000,-14,4,191,4973.822,Stubbe Søvej 7,8400,Ebeltoft,East & mid jutland,Jutland,3.1,,
10/2/2024,2024Q4,1053,Villa,regular_sale,1937,461500,4,4,115,4013.0435,Bladstrupvej 92,5400,Bogense,Fyn & islands,Fyn & islands,3.1,,
10/2/2024,2024Q4,1064,Summerhouse,regular_sale,2023,3600000,-5,3,116,31034.482,Hejrevej 13A,8831,Løgstrup,East & mid jutland,Jutland,3.1,,
10/2/2024,2024Q4,1008,Summerhouse,regular_sale,1976,380200,0,2,56,6789.2856,Hyacintstien 6,2600,Glostrup,"Capital, Copenhagen",Zealand,3.1,,
10/2/2024,2024Q4,1027,Apartment,regular_sale,1935,2900000,-9,6,227,12775.33,"Resenvej 22, st",7800,Skive,South jutland,Jutland,3.1,,
10/2/2024,2024Q4,1038,Farm,regular_sale,1857,19500000,0,10,512,38085.938,Næstvedvej 1,4250,Fuglebjerg,Other islands,Zealand,3.1,,
10/2/2024,2024Q4,967,Villa,regular_sale,1910,2267500,-1,5,202,11225.247,Purupvej 2,8752,Astbirk,East & mid jutland,Jutland,3.1,,
10/2/2024,2024Q4,1056,Summerhouse,regular_sale,2015,2400000,-4,4,90,26666.666,Karsebakken 10,4500,Nykøbing Sj,Other islands,Zealand,3.1,,
10/2/2024,2024Q4,1036,Villa,regular_sale,1976,1500000,-3,6,144,10416.667,Løkkegårdsvej 104,6230,Rødekro,South jutland,Jutland,3.1,,
10/2/2024,2024Q4,981,Summerhouse,regular_sale,1998,2835000,-5,3,58,48879.31,Norsmindevej 171C,8340,Malling,East & mid jutland,Jutland,3.1,,
10/2/2024,2024Q4,1044,Townhouse,family_sale,1984,1275000,0,4,127,10039.37,Byskrivervej 12D,8920,Randers NV,East & mid jutland,Jutland,3.1,,
10/1/2024,2024Q4,1129,Villa,regular_sale,1957,445000,-10,3,129,3449.6123,Dølbyvej 129,7800,Skive,South jutland,Jutland,3.1,,
10/1/2024,2024Q4,1175,Summerhouse,regular_sale,2021,1650000,0,2,48,34375,Fjordstien 176,6950,Ringkøbing,South jutland,Jutland,3.1,,
10/1/2024,2024Q4,1154,Apartment,regular_sale,1977,1150000,0,3,73,15753.425,"Vestergade 56A, st",7400,Herning,South jutland,Jutland,3.1,,
10/1/2024,2024Q4,1116,Villa,regular_sale,1890,500000,-22,8,101,4950.495,Ravnholtvej 2,5853,Arbæk,Fyn & islands,Fyn & islands,3.1,,
10/1/2024,2024Q4,1158,Townhouse,regular_sale,1897,750000,0,4,84,8928.571,Sønder Aksevej 10A,9460,Brovst,North jutland,Jutland,3.1,,
10/1/2024,2024Q4,1179,Apartment,regular_sale,1938,1755000,0,3,55,31909.092,"Vadgårdsvej 2, 1. 3",2860,Søborg,"Capital, Copenhagen",Zealand,3.1,,
10/1/2024,2024Q4,1092,Villa,family_sale,1900,544000,0,2,67,8119.403,"Strandvejen 52, 1. 108",6720,Fanø,South jutland,Jutland,3.1,,
10/1/2024,2024Q4,1174,Apartment,other_sale,2023,4200000,0,5,114,36842.105,Ericavej 161C,2820,Gentofte,"Capital, Copenhagen",Zealand,3.1,,
9/30/2024,2024Q3,1326,Apartment,regular_sale,2020,2470000,-5,3,74,33378.38,"Cikoriegade 17, st. 1",2640,Hedehusene,"Capital, Copenhagen",Zealand,3.35,1.13,4.34
9/30/2024,2024Q3,1265,Apartment,regular_sale,1900,1120000,-2,2,39,28717.95,"Valdemarsgade 12, 3. tv",9000,Aalborg,North jutland,Jutland,3.35,1.13,4.34
9/30/2024,2024Q3,1345,Apartment,regular_sale,1921,725000,0,3,116,6250,Lønborgvej 14A,6880,Tarm,South jutland,Jutland,3.35,1.13,4.34
9/30/2024,2024Q3,1233,Villa,regular_sale,1994,1475000,-8,4,127,11614.173,Ãvej 2A,7451,Sunds,South jutland,Jutland,3.35,1.13,4.34
9/30/2024,2024Q3,1229,Villa,regular_sale,1850,1775000,-13,5,160,11093.75,Farvergårdsvej 6,3200,Helsinge,North Zealand,Zealand,3.35,1.13,4.34
9/30/2024,2024Q3,1286,Apartment,family_sale,1966,1075000,0,2,54,19907.408,"H. C. Andersens Vej 34, st. mf",9000,Aalborg,North jutland,Jutland,3.35,1.13,4.34
9/30/2024,2024Q3,1219,Farm,regular_sale,1912,3600000,-17,6,149,24161.074,Holbækvej 188,4440,Mørkøv,Other islands,Zealand,3.35,1.13,4.34
9/30/2024,2024Q3,1212,Villa,regular_sale,1950,3250000,0,2,125,26000,Strandvolden 25,3730,Nexø,Bornholm,Bornholm,3.35,1.13,4.34
9/30/2024,2024Q3,1300,Apartment,regular_sale,1971,1765000,0,3,78,22628.205,"Hedekæret 38, 1. th",2640,Hedehusene,"Capital, Copenhagen",Zealand,3.35,1.13,4.34
9/30/2024,2024Q3,1227,Villa,regular_sale,1900,875000,0,7,246,3556.9106,Lundøvej 17,7840,Højslev,South jutland,Jutland,3.35,1.13,4.34
9/30/2024,2024Q3,1259,Villa,regular_sale,1985,1300000,-7,5,133,9774.437,Skærvegyden 29,8723,Løsning,East & mid jutland,Jutland,3.35,1.13,4.34
9/30/2024,2024Q3,1282,Farm,family_sale,1861,1105000,0,9,180,6138.8887,Ravnebjerggyden 197,5250,Odense SV,Fyn & islands,Fyn & islands,3.35,1.13,4.34
9/30/2024,2024Q3,1339,Villa,regular_sale,1897,410000,0,6,133,3082.7068,Hovedgaden 65,4520,Svinninge,Other islands,Zealand,3.35,1.13,4.34
9/30/2024,2024Q3,1336,Summerhouse,regular_sale,1869,1525000,0,4,97,15721.649,Blæsenborg 5,4640,Faxe,Other islands,Zealand,3.35,1.13,4.34
9/29/2024,2024Q3,1512,Apartment,regular_sale,2020,6900000,0,4,99,69696.97,"Andrei Sakharovs Vej 21, 4. mf",2450,København SV,"Capital, Copenhagen",Zealand,3.35,1.13,4.34
9/29/2024,2024Q3,1547,Apartment,regular_sale,1962,800000,0,2,88,9090.909,"Teaterstien 19, 1. 11",6100,Haderslev,South jutland,Jutland,3.35,1.13,4.34
9/29/2024,2024Q3,1510,Villa,regular_sale,1991,1250000,0,8,237,5274.2617,Okslundvej 4,6330,Padborg,South jutland,Jutland,3.35,1.13,4.34
9/29/2024,2024Q3,1387,Townhouse,regular_sale,1900,1590000,-16,10,403,3945.4094,Kirkebakken 22,8970,Havndal,East & mid jutland,Jutland,3.35,1.13,4.34
9/29/2024,2024Q3,1397,Townhouse,regular_sale,1882,1195000,0,4,95,12578.947,Strandgade 30,9300,Sæby,North jutland,Jutland,3.35,1.13,4.34
9/29/2024,2024Q3,1538,Summerhouse,family_sale,1971,537200,0,4,75,7162.6665,Neptunvej 37,4900,Nakskov,Other islands,Zealand,3.35,1.13,4.34
9/29/2024,2024Q3,1470,Villa,regular_sale,1955,1485000,-2,3,108,13750,Idomvej 8,7500,Holstebro,South jutland,Jutland,3.35,1.13,4.34
9/29/2024,2024Q3,1522,Apartment,regular_sale,1971,1270000,0,1,38,33421.05,"Kongovej 35A, st. 18",2300,København S,"Capital, Copenhagen",Zealand,3.35,1.13,4.34
9/29/2024,2024Q3,1515,Apartment,regular_sale,2009,1650000,0,3,107,15420.561,"Gl. Skolevej 2, 1. 3",7400,Herning,South jutland,Jutland,3.35,1.13,4.34
9/29/2024,2024Q3,1502,Townhouse,regular_sale,1917,9404500,0,4,126,74638.89,Stormarks AllÃ© 40,4900,Nakskov,Other islands,Zealand,3.35,1.13,4.34
9/28/2024,2024Q3,1584,Farm,regular_sale,1939,1450000,0,6,149,9731.544,Voldkærvej 116,9490,Pandrup,North jutland,Jutland,3.35,1.13,4.34
9/28/2024,2024Q3,1577,Villa,regular_sale,1970,1300000,-7,4,134,9701.492,Peder Andersens Vej 2,9310,Vodskov,North jutland,Jutland,3.35,1.13,4.34
9/28/2024,2024Q3,1589,Townhouse,regular_sale,1981,2895000,-8,4,137,21131.387,Lundegårdsparken 20,4030,Tune,Other islands,Zealand,3.35,1.13,4.34
9/26/2024,2024Q3,1649,Villa,regular_sale,1934,875000,-8,4,111,7882.883,Trønningevej 3,4300,Holbæk,Other islands,Zealand,3.35,1.13,4.34
9/26/2024,2024Q3,1714,Apartment,other_sale,1975,280000,0,2,60,4666.6665,"Høkervej 5D, st. 104",9492,Blokhus,North jutland,Jutland,3.35,1.13,4.34
9/26/2024,2024Q3,1722,Townhouse,regular_sale,1968,2795000,0,5,116,24094.828,Sankt Ibs Alle 58,2630,Taastrup,"Capital, Copenhagen",Zealand,3.35,1.13,4.34
9/26/2024,2024Q3,1750,Summerhouse,regular_sale,1974,750000,0,3,76,9868.421,Illeris 34,9640,Farsø,North jutland,Jutland,3.35,1.13,4.34
9/26/2024,2024Q3,1667,Summerhouse,regular_sale,1998,755000,0,3,50,15100,Bork Hytteby 191,6893,Hemmet,South jutland,Jutland,3.35,1.13,4.34
9/26/2024,2024Q3,1691,Villa,regular_sale,2000,2850000,-5,5,174,16379.311,Kirsebærvej 6,4720,Præstø,Other islands,Zealand,3.35,1.13,4.34
9/26/2024,2024Q3,1730,Townhouse,regular_sale,2021,2400000,-4,4,110,21818.182,Holing Engpark 55,7400,Herning,South jutland,Jutland,3.35,1.13,4.34
9/26/2024,2024Q3,1751,Summerhouse,regular_sale,2005,3000000,-6,5,119,25210.084,Ammekær 33,3250,Gilleleje,North Zealand,Zealand,3.35,1.13,4.34
9/26/2024,2024Q3,1746,Villa,regular_sale,1954,3045000,-2,3,84,36250,Kingosvej 79,3000,Helsingør,North Zealand,Zealand,3.35,1.13,4.34
9/26/2024,2024Q3,1753,Apartment,regular_sale,1910,3100000,0,3,68,45588.234,"Piledamsvej 32, st",6000,Kolding,South jutland,Jutland,3.35,1.13,4.34
9/26/2024,2024Q3,1723,Villa,regular_sale,1850,1130000,-6,5,115,9826.087,Havvej 12,8420,Knebel,East & mid jutland,Jutland,3.35,1.13,4.34
9/26/2024,2024Q3,1752,Villa,regular_sale,1970,3750000,-1,6,215,17441.861,Møllebakken 1,5500,Middelfart,Fyn & islands,Fyn & islands,3.35,1.13,4.34
9/25/2024,2024Q3,1824,Villa,regular_sale,2001,3600000,-3,3,150,24000,Solsikkevej 5,3390,Hundested,North Zealand,Zealand,3.35,1.13,4.34
9/25/2024,2024Q3,1777,Villa,regular_sale,1918,2000000,-5,4,151,13245.033,Smedegade 6,3390,Hundested,North Zealand,Zealand,3.35,1.13,4.34
9/25/2024,2024Q3,1830,Villa,regular_sale,1970,1450000,-3,4,110,13181.818,Toftevej 4,8400,Ebeltoft,East & mid jutland,Jutland,3.35,1.13,4.34
9/25/2024,2024Q3,1859,Villa,regular_sale,1962,3100000,-3,4,102,30392.156,Gadeledsvej 43,3400,Hillerød,North Zealand,Zealand,3.35,1.13,4.34
9/25/2024,2024Q3,1878,Villa,regular_sale,1970,1895000,0,5,126,15039.683,Lisas AllÃ© 2,5250,Odense SV,Fyn & islands,Fyn & islands,3.35,1.13,4.34
9/25/2024,2024Q3,1774,Apartment,regular_sale,1977,2500000,0,4,117,21367.521,"Svalegårdsvej 35, st. th",9000,Aalborg,North jutland,Jutland,3.35,1.13,4.34
9/25/2024,2024Q3,1889,Summerhouse,regular_sale,2005,1150000,-11,4,106,10849.057,Hou Mose 19,9370,Hals,North jutland,Jutland,3.35,1.13,4.34
9/25/2024,2024Q3,1863,Villa,regular_sale,1930,1000000,0,6,173,5780.3467,Aland Bro Vej 5,7752,Snedsted,South jutland,Jutland,3.35,1.13,4.34
9/24/2024,2024Q3,1983,Summerhouse,regular_sale,1956,1100000,0,1,35,31428.572,Præstelunden 17,3550,Slangerup,North Zealand,Zealand,3.35,1.13,4.34
9/24/2024,2024Q3,1966,Villa,family_sale,1947,525000,0,2,73,7191.781,Skovvej 45,4990,Sakskøbing,Other islands,Zealand,3.35,1.13,4.34
9/24/2024,2024Q3,2022,Villa,other_sale,1992,1100000,0,5,182,6043.956,Sverrigsvej 5C,7130,Juelsminde,South jutland,Jutland,3.35,1.13,4.34
9/24/2024,2024Q3,1964,Villa,regular_sale,1927,875000,-12,5,125,7000,Sønder Klitvej 252,6960,Hvide Sande,South jutland,Jutland,3.35,1.13,4.34
9/24/2024,2024Q3,1944,Villa,regular_sale,1929,1720000,-8,3,118,14576.271,Søndermarksvej 19,4760,Vordingborg,Other islands,Zealand,3.35,1.13,4.34
9/24/2024,2024Q3,2021,Summerhouse,regular_sale,1974,1125000,-17,3,62,18145.162,Brislingevej 7,8400,Ebeltoft,East & mid jutland,Jutland,3.35,1.13,4.34
9/24/2024,2024Q3,2073,Villa,regular_sale,2023,2425000,-1,4,130,18653.846,Henriksvang 6,5600,Faaborg,Fyn & islands,Fyn & islands,3.35,1.13,4.34
9/24/2024,2024Q3,2058,Villa,regular_sale,1800,515000,6,5,104,4951.923,Maglehøjvej 213,4983,Dannemare,Other islands,Zealand,3.35,1.13,4.34
9/24/2024,2024Q3,2099,Villa,regular_sale,1939,2000000,-5,5,114,17543.86,Gl. Skivevej 22,8800,Viborg,East & mid jutland,Jutland,3.35,1.13,4.34
9/24/2024,2024Q3,2056,Apartment,regular_sale,1917,3775000,0,2,83,45481.926,"Store Gråbrødrestræde 6, st",4000,Roskilde,Other islands,Zealand,3.35,1.13,4.34
9/24/2024,2024Q3,2081,Farm,regular_sale,1930,3200000,-1,5,204,15686.274,Sahlholdtvej 27,7400,Herning,South jutland,Jutland,3.35,1.13,4.34
9/23/2024,2024Q3,2102,Villa,regular_sale,1959,1550000,0,5,164,9451.22,Tjørnelundsvej 26,8930,Randers NA,East & mid jutland,Jutland,3.35,1.13,4.34
9/23/2024,2024Q3,2140,Villa,regular_sale,1965,1625000,-8,4,90,18055.555,Vroldvej 142,8660,Skanderborg,East & mid jutland,Jutland,3.35,1.13,4.34
9/23/2024,2024Q3,2139,Apartment,regular_sale,1893,1500000,-12,4,150,10000,"Vestergade 3B, 1",9800,Hjørring,North jutland,Jutland,3.35,1.13,4.34
9/23/2024,2024Q3,40319,Villa,regular_sale,1958,6800000,-3,5,98,69387.76,Hummeltoften 20,2830,Virum,"Capital, Copenhagen",Zealand,3.35,1.13,4.34
9/23/2024,2024Q3,40352,Townhouse,regular_sale,2023,2820000,0,4,102,27647.059,Jernvænget 45,4300,Holbæk,Other islands,Zealand,3.35,1.13,4.34
9/23/2024,2024Q3,40342,Townhouse,regular_sale,1987,1050000,0,3,80,13125,Møllevangen 32,9320,Hjallerup,North jutland,Jutland,3.35,1.13,4.34
9/23/2024,2024Q3,2128,Villa,regular_sale,1949,3035000,1,4,120,25291.666,Spangsvej 68,5210,Odense NV,Fyn & islands,Fyn & islands,3.35,1.13,4.34
9/23/2024,2024Q3,2135,Villa,regular_sale,1960,1650000,0,7,272,6066.1763,Astre Havnevej 21,4583,Sjællands Odde,Other islands,Zealand,3.35,1.13,4.34
9/22/2024,2024Q3,40508,Apartment,regular_sale,1933,3025000,0,2,57,53070.176,"Sorgenfrigade 6, st. tv",2200,København N,"Capital, Copenhagen",Zealand,3.35,1.13,4.34
9/22/2024,2024Q3,40394,Villa,regular_sale,1893,2800000,-12,4,144,19444.445,Skydebanevej 7,4780,Stege,Other islands,Zealand,3.35,1.13,4.34
9/22/2024,2024Q3,40495,Villa,regular_sale,1959,3030000,-2,4,103,29417.477,Rundvangen 26,2605,Brøndby,"Capital, Copenhagen",Zealand,3.35,1.13,4.34
9/22/2024,2024Q3,40407,Villa,regular_sale,1972,5250000,0,5,168,31250,Elmsager 32,8240,Risskov,East & mid jutland,Jutland,3.35,1.13,4.34
9/22/2024,2024Q3,40505,Apartment,regular_sale,1957,2249000,0,2,51,44098.04,"Dybendalsvej 73, st. mf",2720,Vanløse,"Capital, Copenhagen",Zealand,3.35,1.13,4.34
9/22/2024,2024Q3,40412,Villa,regular_sale,1948,4900000,-2,6,148,33108.11,Rytterstien 10,3400,Hillerød,North Zealand,Zealand,3.35,1.13,4.34
9/22/2024,2024Q3,40474,Villa,regular_sale,1960,640000,-19,3,102,6274.51,Algade 155,9700,Brønderslev,North jutland,Jutland,3.35,1.13,4.34
9/22/2024,2024Q3,40496,Farm,family_sale,1878,1602000,0,4,140,11442.857,Hostrupvej 11,6710,Esbjerg V,South jutland,Jutland,3.35,1.13,4.34
9/22/2024,2024Q3,40537,Summerhouse,regular_sale,1955,1400000,0,2,41,34146.34,Sneppevej 5,4873,Væggerløse,Other islands,Zealand,3.35,1.13,4.34
9/22/2024,2024Q3,40440,Villa,regular_sale,1958,5325000,-3,5,107,49766.355,Medelbyvej 57,2610,Rødovre,"Capital, Copenhagen",Zealand,3.35,1.13,4.34
9/22/2024,2024Q3,40468,Villa,regular_sale,1930,1550000,-7,6,97,15979.382,Bøjdenvej 24,5800,Nyborg,Fyn & islands,Fyn & islands,3.35,1.13,4.34
9/22/2024,2024Q3,40444,Apartment,regular_sale,1778,10000000,0,6,200,50000,"Lille Strandstræde 12, 2",1254,København K,"Capital, Copenhagen",Zealand,3.35,1.13,4.34
9/22/2024,2024Q3,40432,Villa,regular_sale,1935,4600000,-4,8,169,27218.936,Svendsgade 19,5000,Odense C,Fyn & islands,Fyn & islands,3.35,1.13,4.34
9/22/2024,2024Q3,40395,Summerhouse,regular_sale,1933,2405000,0,2,41,58658.535,Gammel Strandvej 87,4243,Rude,Other islands,Zealand,3.35,1.13,4.34
9/22/2024,2024Q3,40461,Summerhouse,family_sale,1999,699000,0,3,102,6852.9414,Rørvænget 2,6900,Skjern,South jutland,Jutland,3.35,1.13,4.34
9/22/2024,2024Q3,40494,Townhouse,regular_sale,1987,1650000,0,3,92,17934.783,Benløse Skel 4I,4100,Ringsted,Other islands,Zealand,3.35,1.13,4.34
9/22/2024,2024Q3,40429,Villa,regular_sale,1952,1500000,0,6,189,7936.508,Jagtvej 1,7200,Grindsted,South jutland,Jutland,3.35,1.13,4.34
